국가,감염자인원,감염자 발생률,사망자 인원,사망자 발생률,사망률
미국,"4,665,002",1417.5,"154,834",47,3.3
브라질,"2,733,677",1287,"94,104",44.3,3.4
인도,"1,750,723",127.9,"37,364",2.7,2.1
러시아,"850,870",591.3,"14,128",9.8,1.7
남아프리카공화국,"503,290",866.2,"8,153",14,1.6
멕시코,"439,046",331.9,"47,746",36.1,10.9
페루,"422,183",1283.2,"19,408",59,4.6
칠레,"359,731",1920.6,"9,608",51.3,2.7
이란,"309,437",373.7,"17,190",20.8,5.6
영국,"304,695",454.8,"46,201",69,15.2
콜롬비아,"295,508",593.4,"10,105",20.3,3.4
스페인,"288,522",621.8,"28,445",61.3,9.9
파키스탄,"279,699",136.7,"5,976",2.9,2.1
사우디아라비아,"278,835",817.7,"2,917",8.6,1
이탈리아,"248,070",419,"35,154",59.4,14.2
방글라데시,"239,860",148.6,"3,132",1.9,1.3
터키,"232,856",280.5,"5,728",6.9,2.5
독일,"211,220",256.3,"9,154",11.1,4.3
인도네시아,"109,936",40.8,"5,196",1.9,4.7
필리핀,"98,232",90.9,"2,039",1.9,2.1
카자흐스탄,"91,593",492.4,793,4.3,0.9
중국,"84,428",5.9,"4,634",0.3,5.5
싱가포르,"52,825",895.3,27,0.5,0.1
일본,"38,687",30.5,"1,012",0.8,2.6
키르키스스탄,"36,719",592.2,"1,409",22.7,3.8
우즈베키스탄,"25,040",76.3,149,0.5,0.6
호주,"17,282",68.9,200,0.8,1.2
말레이시아,"8,985",27.6,125,0.4,1.4
태국,"3,317",4.8,58,0.1,1.7
베트남,621,0.6,6,0,1
한국,"14,389",27.8,301,0.6,2.1
