순위,팀,경기수,승점,승,무,패,득점,실점,득실차
1,리버풀 FC,38,99,32,3,3,85,33,52
2,맨체스터 시티 FC,38,81,26,3,9,102,35,67
3,맨체스터 유나이티드 FC,38,66,18,12,8,66,36,30
4,첼시 FC,38,66,20,6,12,69,54,15
5,레스터 시티 FC,38,62,18,8,12,67,41,26
6,토트넘 홋스퍼 FC,38,59,16,11,11,61,47,14
7,울버햄튼 원더러스 FC,38,59,15,14,9,51,40,11
8,아스널 FC,38,56,14,14,10,56,48,8
9,셰필드 유나이티드 FC,38,54,14,12,12,39,39,0
10,번리 FC,38,54,15,9,14,43,50,-7
11,사우샘프턴 FC,38,52,15,7,16,51,60,-9
12,에버턴 FC,38,49,13,10,15,44,56,-12
13,뉴캐슬 유나이티드 FC,38,44,11,11,16,38,58,-20
14,크리스탈 팰리스 FC,38,43,11,10,17,31,50,-19
15,브라이튼 앤 호브 알비온 FC,38,41,9,14,15,39,54,-15
16,웨스트햄 유나이티드 FC,38,39,10,9,19,49,62,-13
17,아스톤 빌라 FC,38,35,9,8,21,41,67,-26
18,AFC 본머스,38,34,9,7,22,40,65,-25
19,왓포드 FC,38,34,8,10,20,36,64,-28
20,노리치 시티 FC,38,21,5,6,27,26,75,-49
